PREDICT Profiler Report

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                   	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                    	|  -              	|  972            	|  24.578         	|  100 %          	|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  [PredictionEpochLoop].predict_dataloader_idx_0_next                                                                                                                      	|  0.13688        	|  46             	|  6.2966         	|  25.618         	|
|  [Strategy]SingleDeviceStrategy.predict_step                                                                                                                              	|  0.12119        	|  46             	|  5.5746         	|  22.681         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                           	|  0.031442       	|  46             	|  1.4463         	|  5.8846         	|
|  [LightningModule]LMv3ClassifierModule.transfer_batch_to_device                                                                                                           	|  0.031199       	|  46             	|  1.4352         	|  5.8391         	|
|  [LightningModule]LMv3ClassifierModule.on_predict_epoch_end                                                                                                               	|  0.050704       	|  1              	|  0.050704       	|  0.2063         	|
|  [Callback]TQDMProgressBar.on_predict_batch_end                                                                                                                           	|  0.00047729     	|  46             	|  0.021955       	|  0.089327       	|
|  [Callback]TQDMProgressBar.on_predict_batch_start                                                                                                                         	|  3.2764e-05     	|  46             	|  0.0015072      	|  0.006132       	|
|  [LightningDataModule]VATDataModule.setup                                                                                                                                 	|  0.0012731      	|  1              	|  0.0012731      	|  0.0051796      	|
|  [Callback]TQDMProgressBar.on_predict_start                                                                                                                               	|  0.0012035      	|  1              	|  0.0012035      	|  0.0048966      	|
|  [LightningModule]LMv3ClassifierModule.on_predict_model_eval                                                                                                              	|  0.0011697      	|  1              	|  0.0011697      	|  0.004759       	|
|  [Callback]EarlyStopping{'monitor': 'balanced_val_f1', 'mode': 'max'}.on_predict_batch_end                                                                                	|  1.8395e-05     	|  46             	|  0.00084619     	|  0.0034428      	|
|  [LightningModule]LMv3ClassifierModule.on_before_batch_transfer                                                                                                           	|  1.7212e-05     	|  46             	|  0.00079177     	|  0.0032214      	|
|  [Callback]EarlyStopping{'monitor': 'balanced_val_f1', 'mode': 'max'}.on_predict_batch_start                                                                              	|  1.6921e-05     	|  46             	|  0.00077835     	|  0.0031668      	|
