----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                    |  Mean duration (s)    |  Num calls            |  Total time (s)       |  Percentage %         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                     |  -                    |  55836                |  469.64               |  100 %                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                        |  19.142               |  20                   |  382.84               |  81.519               |
|  run_training_batch                                                                                                                                                        |  0.20857              |  920                  |  191.89               |  40.859               |
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                              |  0.13615              |  920                  |  125.25               |  26.67                |
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                              |  0.12092              |  920                  |  111.25               |  23.688               |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end            |  3.9244               |  20                   |  78.487               |  16.712               |
|  [LightningModule]LMv3ClassifierModule.optimizer_step                                                                                                                      |  0.3253               |  200                  |  65.06                |  13.853               |
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                            |  0.077174             |  462                  |  35.654               |  7.5919               |
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                   |  0.03568              |  920                  |  32.825               |  6.9895               |
|  [TrainingEpochLoop].train_dataloader_next                                                                                                                                 |  0.012946             |  920                  |  11.911               |  2.5362               |
|  [EvaluationEpochLoop].val_dataloader_idx_0_next                                                                                                                           |  0.011794             |  460                  |  5.4251               |  1.1552               |
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                            |  0.0014349            |  1382                 |  1.983                |  0.42225              |
|  [LightningModule]LMv3ClassifierModule.transfer_batch_to_device                                                                                                            |  0.0012849            |  1382                 |  1.7757               |  0.3781               |
|  [LightningDataModule]VATDataModule.setup                                                                                                                                  |  1.3986               |  1                    |  1.3986               |  0.2978               |
|  [LightningModule]LMv3ClassifierModule.optimizer_zero_grad                                                                                                                 |  0.0020083            |  200                  |  0.40166              |  0.085525             |
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                         |  0.00084543           |  462                  |  0.39059              |  0.083169             |
|  [EvaluationEpochLoop].None_dataloader_idx_0_next                                                                                                                          |  0.074572             |  2                    |  0.14914              |  0.031757             |
|  [Callback]SaveConfigCallback.setup                                                                                                                                        |  0.11715              |  1                    |  0.11715              |  0.024945             |
|  [Callback]ModelCheckpoint{'monitor': 'val_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end            |  8.1516e-05           |  920                  |  0.074994             |  0.015969             |
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_epoch_end                                                                                          |  0.0028452            |  20                   |  0.056905             |  0.012117             |
|  [LightningModule]LMv3ClassifierModule.on_validation_model_eval                                                                                                            |  0.0019255            |  21                   |  0.040436             |  0.00861              |
|  [LightningModule]LMv3ClassifierModule.on_validation_model_train                                                                                                           |  0.0017361            |  21                   |  0.036458             |  0.007763             |
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                       |  6.6288e-05           |  462                  |  0.030625             |  0.0065211            |
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_after_backward                                                                                           |  2.5179e-05           |  920                  |  0.023165             |  0.0049325            |
|  [Callback]GradientAccumulationScheduler.on_train_batch_end                                                                                                                |  2.4756e-05           |  920                  |  0.022775             |  0.0048495            |
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                            |  0.0010894            |  20                   |  0.021788             |  0.0046393            |
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                               |  0.0010196            |  21                   |  0.021411             |  0.0045591            |
|  [LightningModule]LMv3ClassifierModule.on_after_batch_transfer                                                                                                             |  1.4571e-05           |  1382                 |  0.020138             |  0.0042879            |
|  [LightningModule]LMv3ClassifierModule.on_before_batch_transfer                                                                                                            |  1.4543e-05           |  1382                 |  0.020099             |  0.0042797            |
